(5, 5, 5, 0, 0)
(5, 7, 6, 1, -1)
(5, 9, 7, 2, -2)
(5, 11, 8, 3, -3)
(5, 13, 9, 4, -4)
(5, 15, 10, 5, -5)
(5, 17, 11, 6, -6)
(5, 19, 12, 7, -7)
(5, 21, 13, 8, -8)
(5, 23, 14, 9, -9)
(5, 25, 15, 10, -10)
(5, 27, 16, 11, -11)
(5, 29, 17, 12, -12)
(5, 31, 18, 13, -13)
(5, 33, 19, 14, -14)
(5, 35, 20, 15, -15)
(5, 37, 21, 16, -16)
(5, 39, 22, 17, -17)
(5, 41, 23, 18, -18)
(5, 43, 24, 19, -19)
(5, 45, 25, 20, -20)
(5, 47, 26, 21, -21)
(5, 49, 27, 22, -22)
(5, 51, 28, 23, -23)
(5, 53, 29, 24, -24)
(5, 55, 30, 25, -25)
(5, 57, 31, 26, -26)
(5, 59, 32, 27, -27)
(5, 61, 33, 28, -28)
(5, 63, 34, 29, -29)
(5, 65, 35, 30, -30)
(5, 67, 36, 31, -31)
